ts,p0,p1,p2,p3
12.5316350,0.0854135,174.7023417,117.9983105,101.6910262
12.5662130,-0.0051096,176.0069160,116.6286288,100.7923070
12.6064660,-0.1104906,162.4552903,104.3315372,89.0720075
12.6474400,-0.2200301,158.3675510,100.9388356,86.4235546
12.6622850,-0.3214016,160.8152551,103.5266399,88.6629770
12.6976190,-0.4077179,160.9432543,103.2811688,90.0531622
12.7351370,-0.4722738,160.7589243,103.4900398,89.8862550
12.7792320,-0.5006289,160.8950800,103.5044514,90.1527919
12.8148130,-0.4806507,161.0645893,103.5761817,90.4909489
12.8477860,-0.4196481,161.8793235,104.0269146,90.7519279
12.8892590,-0.3339317,162.1415790,104.1725865,91.4373160
12.9590530,-0.2301981,162.4500429,104.5583175,91.6903296
12.9743480,-0.1076478,162.9259736,105.1374618,92.2130695
13.0064080,0.0271441,163.5277675,105.4803560,92.9795067
13.0373910,0.1534179,163.8483045,105.9972944,93.1159091
13.0698410,0.2555250,164.2032931,106.0096508,93.7411596
13.0997470,0.3291162,164.3617843,106.2311624,93.7464421
13.1329410,0.3715741,164.9828592,106.7886579,93.7741794
13.1656870,0.3861802,165.5916054,107.1049144,94.4132836
13.1996600,0.3822231,165.8544195,107.2017350,94.9867914
13.2318020,0.3651634,166.1532506,107.4122957,94.6052237
13.2615100,0.3338872,165.8971795,107.5432032,94.5497617
13.2958520,0.2770858,166.0357371,107.7406657,94.8244079
13.3327580,0.1805014,166.6913702,108.0704370,95.1746441
13.3636390,0.0472904,166.7790506,108.4331494,95.3625215
13.3977560,-0.1085172,166.5509039,108.2503013,95.2990783
13.4324460,-0.2680336,166.7245682,108.5573493,95.5680649
13.4632600,-0.4115182,166.9817101,108.7382759,95.7346739
13.4979740,-0.5189185,166.8644444,108.6445493,95.7154071
13.5385020,-0.5679319,167.0043114,108.4082058,95.8898823
13.5845120,-0.5516769,167.2311194,108.4020868,95.6547390
13.6008590,-0.4890125,166.9990555,108.2879530,95.6168322
13.6342210,-0.4140111,166.8901173,108.0085043,95.3556926
13.6647170,-0.3435055,167.0778196,108.3209620,95.5655129
13.6991540,-0.2689592,166.7362688,108.0497445,95.5823872
13.7452830,-0.1824226,166.9609451,108.3937713,95.6279578
13.7773960,-0.0790380,167.0638045,108.4233122,95.4458399
13.8134680,0.0418457,166.9708734,108.3579991,95.4864565
13.8447250,0.1610551,166.8140164,108.1018061,95.5420527
13.8811460,0.2590670,167.1094093,108.2104412,95.3926222
13.9138800,0.3382317,166.8687241,108.1390363,95.2546472
13.9552960,0.4034097,167.0640286,108.3849239,95.7122292
14.0044070,0.4554064,167.1596236,108.5038108,95.9833614
14.0220390,0.4974269,167.1363265,108.6411395,96.0976095
14.0540870,0.5278556,166.8471486,108.5244663,95.8552443
14.0907060,0.5448768,166.8993379,108.6967324,95.2790987
14.1265530,0.5498415,166.6306778,108.5615834,95.3329774
14.1614650,0.5374989,166.7364858,108.7712341,95.4593946
14.1955190,0.4969269,166.6411859,108.8203251,95.3105912
14.2287560,0.4198561,166.3899089,108.7118494,95.1973378
14.2614670,0.3047848,166.5937836,108.5718685,95.1958390
14.2941380,0.1618573,166.4233988,108.2659054,94.8554507
14.3268370,0.0029246,166.2778270,108.0669335,94.6718844
14.3638080,-0.1577870,166.2687507,107.9109233,95.3267796
